source,target
KurtisSunday,18common
dalkeybookfest,18for0
OBrienPress,1916Centenary
HuntMuseum,1916Centenary
DelectusBooks,1916socs
OBrienPress,1916walkingtour
DublinBookFest,1916walkingtour
OverTheEdgeOpen,1917paul
Lit_Ireland,19acres
stingingfly,19acres
bansheelit,19acres
dalkeybookfest,19acres
TheDublinReview,19acres
poetryireland,1annecasey
salmonpoetry,1annecasey
stingingfly,1annecasey
dedaluspress,1annecasey
OverTheEdgeOpen,1annecasey
Doirepress,1annecasey
OBheal,1annecasey
CuirtFestival,1annecasey
MatthewMCSmith,1annecasey
UCDLibrary,1annecasey
ursulabyrne5,1annecasey
danny_mcbrearty,1annecasey
AlisonWhitelock,1annecasey
LilliputPress,1CatShepherd
MunLitCentre,1dor
OBrienPress,1dor
WritersWeek,1dublin1book
dedaluspress,1dublin1book
Lit_Ireland,1dublin1book
DublinBookFest,1dublin1book
NewIslandBooks,1dublin1book
MoLI_Museum,1dublin1book
bansheelit,1dublin1book
dalkeybookfest,1dublin1book
LilliputPress,1dublin1book
PublishingIRL,1dublin1book
dubreviewbooks,1DUpdatesOnline
OBrienPress,1familyireland
Doirepress,1karenmooney
tarryathome,1michaelgray1
OBrienPress,1MorePage
TrampPress,1mumrevolution
OverTheEdgeOpen,1percentnetwork
IrishWritersCtr,1PM
dedaluspress,1PM
NewIslandBooks,1rorycowan
ablackeyedpeace,1stclasssec
poetryireland,1stejones
MoLI_Museum,1stejones
donnieodd,1stejones
stingingfly,2014LimWriters
OverTheEdgeOpen,2014LimWriters
poetryireland,2017Hull
NewIslandBooks,2019Flann
TheDublinReview,2019Flann
SkeinPress,2019Iasil
lcollins232,2019Iasil
irenelovesdogs,2019Iasil
JJ_Gazette,2019Iasil
lpjis,2019Iasil
bcurranBooks,2022Debut
stingingfly,20thcenturyboyy
WinterPapers,20thcenturyboyy
dubreviewbooks,20thcenturyboyy
poetryireland,21CRenaissance
bansheelit,21CRenaissance
PublishingIRL,21CRenaissance
Irish1nterest,21CRenaissance
AnneTannam,21CRenaissance
tayfollett,24in48readathon
reallifereadng,24in48readathon
OBrienPress,272BookFaith
WritersWeek,2busy2bhere
Doirepress,2busy2bhere
SkeinPress,2busy2bhere
OBrienPress,2DComicsFest
OBrienPress,2DramsofWhiskey
WritersWeek,2pm
dalkeybookfest,2pm
ContinuityPlay,2pm
TheGalleryPress,2steps
WritersWeek,2xm_
stingingfly,30under
Doirepress,30under
NewIslandBooks,30under
Fallow__Media,33SpacesPeter
OBrienPress,39parolles
stingingfly,3ammagazine
OverTheEdgeOpen,3ammagazine
NewIslandBooks,3CastlesBurning
SkeinPress,3ElementsReview
NewIslandBooks,3FE
MoLI_Museum,3leavesblackroc
ILFDublin,3newsireland
ShazsBookBlog,3obriens
stingingfly,3ofCupsPress
bansheelit,3ofCupsPress
OBrienPress,3PM
Tonerspub,3PM
dubreviewbooks,3QD
ILFDublin,3sisters2020
poetryireland,3womensing
stingingfly,404Ink
SkeinPress,404Ink
Doirepress,40kBooks
sophiegrenham,451Editions
NewIslandBooks,4CornersBooks
OverTheEdgeOpen,4Culture
OBrienPress,4damelane
WritersWeek,4inaBar
poetryireland,4lirchild
MunLitCentre,4lirchild
IrishWritersCtr,4lirchild
salmonpoetry,4lirchild
dedaluspress,4lirchild
OverTheEdgeOpen,4lirchild
MoLI_Museum,4lirchild
NewIslandBooks,4lirchild
OBheal,4lirchild
Doirepress,4lirchild
BloodaxeBooks,4lirchild
PoetryProgRTE,4lirchild
mountainstosea,4lirchild
ILFDublin,4PlanB
PublishingIRL,4pm
OverTheEdgeOpen,4RadioChamp
stingingfly,4thEstateBooks
WritersWeek,4thEstateBooks
dalkeybookfest,4thEstateBooks
NewIslandBooks,4thEstateBooks
ILFDublin,4thEstateBooks
dubreviewbooks,4thEstateBooks
PublishingIRL,4thEstateBooks
SkeinPress,4thEstateBooks
CuirtFestival,4thEstateBooks
TrampPress,4thEstateBooks
Somewhataldente,4thEstateBooks
EmmaCBradshaw,4thEstateBooks
Irish1nterest,4thEstateBooks
NewIslandBooks,57theheadline
ILFDublin,5camp
dedaluspress,5lampsarts
IrishWritersCtr,5lampsarts
poetryireland,5lampsarts
Doirepress,5lampsarts
OverTheEdgeOpen,5lampsarts
reic,5lampsarts
NBGGlasnevin,5lampsarts
gagebybell,5lampsarts
OBrienPress,5pm
TrampPress,5x15
dalkeybookfest,5x15
TrampPress,5x15stories
dalkeybookfest,5x15stories
CuirtFestival,5x4x3x
ILFDublin,60radio
dalkeybookfest,64_Wine
IrishWritersCtr,6pm
OBrienPress,6pm
CuirtFestival,6pm
ILFDublin,6pm
SkeinPress,6ress
getns2nd,6thclassgetns
stingingfly,6to5against
NewIslandBooks,738ampod
fishpublishing,7DSBooks
IrishWritersCtr,7pm
poetryireland,7pm
LilliputPress,7pm
SkeinPress,7pm
WritersWeek,7UP
WritersWeek,7UPIRELAND
MunLitCentre,7UPIRELAND
CuirtFestival,80lisa
OBrienPress,82storylane
dubreviewbooks,86thLeinster
OBrienPress,8degreesbrewing
NewIslandBooks,8degreesbrewing
WinterPapers,8degreesbrewing
poetryireland,8pm
CuirtFestival,8pm
LilliputPress,8pm
WritersWeek,8twinge
poetryireland,925PhoenixFM
IrishWritersCtr,925PhoenixFM
LilliputPress,925PhoenixFM
OBrienPress,925PhoenixFM
WritersWeek,95spa
WaterstonesCrk,96fm
ILFDublin,98FM
OBrienPress,98FM
stingingfly,9pictures
OverTheEdgeOpen,a_byrne_
stingingfly,A_Good_Blue
poetryireland,a_hetherington
WritersWeek,a_hetherington
ILFDublin,A_J_Lester
Lit_Ireland,A_Jay92
poetryireland,A_Jay92
CelesteMcCreesh,A_Jay92
TheGalleryPress,A_Joseph_Black
stingingfly,A_Joseph_Black
Doirepress,A_Joseph_Black
WinterPapers,A_Joseph_Black
fuzzynick,A_Joseph_Black
DublinBookFest,a_martin33
OverTheEdgeOpen,a_musiyiwa
Fallow__Media,a_s_f_e_o
IrishWritersCtr,A_Trodd
stingingfly,A_Trodd
MunLitCentre,A_Trodd
bansheelit,A_Trodd
CuirtFestival,A_Trodd
MunLitCentre,A_WritersStudio
IrishWritersCtr,A_WritersStudio
OverTheEdgeOpen,A_WritersStudio
SkeinPress,A1EngResources
poetryireland,a4sounds
OverTheEdgeOpen,AAAGalway
IrishWritersCtr,aaaisling
SkeinPress,AAATheatre
ILFDublin,aaciman
Doirepress,AADRpublisher
fishpublishing,AAhandmadelife
Doirepress,AAIarchitecture
poetryireland,aaidnetwork
MoLI_Museum,aaidnetwork
dubreviewbooks,AAKnopf
ILFDublin,AAKnopf
LilliputPress,AaliyasBooks
dubreviewbooks,aaroadwatch
OBrienPress,aaroadwatch
TheDublinReview,AaronGilbreath
OverTheEdgeOpen,AaronMckenna
CuirtFestival,AashimaRana4
kathmccoypoet,AAUW
ILFDublin,abairlinn
Fallow__Media,AbandonRaisins
dubreviewbooks,AbartaGuides
Lit_Ireland,AbbayeNormandie
NewIslandBooks,AbbazappaDerry
poetryireland,Abbey
poetryireland,abbeyartscentre
poetryireland,AbbeyTheatre
TheGalleryPress,AbbeyTheatre
stingingfly,AbbeyTheatre
WritersWeek,AbbeyTheatre
salmonpoetry,AbbeyTheatre
IrishWritersCtr,AbbeyTheatre
ILFDublin,AbbeyTheatre
NewIslandBooks,AbbeyTheatre
dalkeybookfest,AbbeyTheatre
dubreviewbooks,AbbeyTheatre
DublinBookFest,AbbeyTheatre
LilliputPress,AbbeyTheatre
SkeinPress,AbbeyTheatre
MoLI_Museum,AbbeyTheatre
TheDublinReview,AbbeyTheatre
1dor,AbbeyTheatre
DCUSchoolofEng,AbbeyTheatre
DanMulhall,AbbeyTheatre
sophiegrenham,AbbeyTheatre
icapevents1,AbbeyTheatre
duffles1,AbbeyTheatre
kathyroseobrien,AbbeyTheatre
budgetireland,AbbeyTheatre
ShevaunWilder,AbbeyTheatre
DevaultChris,AbbeyTheatre
peopleonholiday,AbbeyTheatre
dalkeybookfest,AbbottCardio
ILFDublin,abbygreen3
HappyMrsH,abbygreen3
IrishWritersCtr,abbyOliveira
IrishWritersCtr,abcassin
WritersWeek,abcassin
NewIslandBooks,abcassin
KavanaghWeekly,abcassin
NewIslandBooks,ABCoverD
Doirepress,AbegailMorley
AlanGilsenan1,abeibrasil
OBrienPress,AberrantTrilogy
OverTheEdgeOpen,abianne
CuirtFestival,abidare_author
stingingfly,AbiePB
WritersWeek,AbiePB
OverTheEdgeOpen,AbiePB
kevinansbro,abifenton
OBrienPress,abigailcolleran
poetryireland,abigailrieley
IrishWritersCtr,abigailrieley
ILFDublin,abigailrieley
OBrienPress,abigailrieley
LilliputPress,abigailrieley
NewIslandBooks,abigailrieley
dalkeybookfest,abigailruthf
IrishWritersCtr,ABIIreland
poetryireland,ABIIreland
SkeinPress,abipalmer_bot
Doirepress,AbiScruby
dubreviewbooks,ABITOFIRELAND
CuirtFestival,ABJackson1
NewIslandBooks,aboodaljumaili
TrampPress,AboutGassing
ILFDublin,AboutThisLater
OBrienPress,Abrakebabra
poetryireland,Abridged030
dedaluspress,Abridged030
stingingfly,Abridged030
Doirepress,Abridged030
OverTheEdgeOpen,Abridged030
CuirtFestival,Abridged030
Normantweets,Abridged030
DylanJBrennan,Abridged030
NatashaRemound1,Abridged030
dogwithoutlegs,Abridged030
ILFDublin,abriggswriter
stingingfly,Abroadwriters
LilliputPress,absolutegemma
NewIslandBooks,absolutegemma
IrishWritersCtr,absolutelywrite
SkeinPress,absolutelywrite
TheGalleryPress,AbsolutVona
dedaluspress,AbsolutVona
CuirtFestival,AbsolutVona
ElaBittencourt,AbsolutVona
stingingfly,Absorb_English
stingingfly,abydos6
OBrienPress,abymill
WinterPapers,ACA_Askeaton
LilliputPress,ACA_Askeaton
Doirepress,ACA_Askeaton
Lit_Ireland,AcadamhOEG
dedaluspress,AcademicsClass
IrishWritersCtr,AcademyofPiano
OBheal,Acadfrancaise
OBheal,AcairBooks
OverTheEdgeOpen,acarloadofpoets
SkeinPress,acaseforbooks
WritersWeek,acast
Lit_Ireland,acatherwoodnews
dalkeybookfest,acatherwoodnews
OBrienPress,accentslounge
poetryireland,Accenture
poetryireland,Accenture_Irl
SkeinPress,access_ucc
dedaluspress,AccessForAll7
LilliputPress,AccessTCD
OBrienPress,AccessTCD
PoetryProgRTE,AccessTCD
LightlyWords,AccessTCD
OBrienPress,AccReader
poetryireland,accsirl
SkeinPress,ACDjournal
bansheelit,ACDjournal
SJDelaneywriter,ACDjournal
Corsie101,ACDjournal
lucy_holme,ACDjournal
IrishWritersCtr,ACDublin
stingingfly,ACDublin
dedaluspress,ace_national
poetryireland,ace_national
SkeinPress,ace_national
CuirtFestival,ace_national
IrishWritersCtr,acertainsmile
LilliputPress,acertainsmile
bansheelit,acertainsmile
MunLitCentre,ACEUCC
WritersWeek,acgrayling
stingingfly,AChemeche
Doirepress,achilltourism
macgearc,AchtAnois
Lit_Ireland,ACIrishStudies
LilliputPress,ACIrishStudies
NewIslandBooks,ACIrishStudies
MoLI_Museum,ACIrishStudies
Doirepress,ACIrishStudies
IrishUniReview,ACIrishStudies
WFUPress,ACIrishStudies
boconch1,ACIrishStudies
drreznicek,ACIrishStudies
ReinischDieter,ACIrishStudies
BucknellUPress,ACIrishStudies
boconch1,acis
floridapress,ACIS2015
poetryireland,acis2020
Fallow__Media,acloserlisten
OBheal,acni
Doirepress,acni
TheGalleryPress,ACNIWriting
poetryireland,ACNIWriting
dedaluspress,ACNIWriting
IrishWritersCtr,ACNIWriting
salmonpoetry,ACNIWriting
WritersWeek,ACNIWriting
Lit_Ireland,ACNIWriting
MunLitCentre,ACNIWriting
stingingfly,ACNIWriting
Doirepress,ACNIWriting
irishpages,ACNIWriting
NewIslandBooks,ACNIWriting
SkeinPress,ACNIWriting
TrampPress,ACNIWriting
CuirtFestival,ACNIWriting
bansheelit,ACNIWriting
OverTheEdgeOpen,ACNIWriting
DublinBookFest,ACNIWriting
OBheal,ACNIWriting
dubreviewbooks,ACNIWriting
OBrienPress,ACNIWriting
Nessao,ACNIWriting
PoetryProgRTE,ACNIWriting
ChairOfPoetry,ACNIWriting
CelizMurray,ACNIWriting
maria_mcmanus,ACNIWriting
CherrySmyth,ACNIWriting
LightlyWords,ACNIWriting
OBrienPress,acolleenjones
SkeinPress,ACplusAG
FrankieShine,ACR884
stingingfly,ACT4Meningitis
ILFDublin,Actavo_Events
MoLI_Museum,ACtheatre
OverTheEdgeOpen,actiononx
dubreviewbooks,activehistory
dubreviewbooks,ActuaLitte
andreas_wisst,ActuallyAlethea
poetryireland,ActUpDublin
OverTheEdgeOpen,actwriters
Doirepress,AcumenPoetry
OBrienPress,acuparia
NewIslandBooks,acuparia
Lit_Ireland,ADaily_Cloud
OverTheEdgeOpen,AdairD
dedaluspress,adalimon
dubreviewbooks,adamboultonSKY
Doirepress,adamcrothers
LilliputPress,adamcrothers
dalkeybookfest,adamhillscomedy
dalkeybookfest,adamjkucharski
poetryireland,AdamJWyeth
dedaluspress,AdamJWyeth
IrishWritersCtr,AdamJWyeth
MunLitCentre,AdamJWyeth
salmonpoetry,AdamJWyeth
OBheal,AdamJWyeth
Doirepress,AdamJWyeth
NewIslandBooks,AdamJWyeth
PoetryProgRTE,AdamJWyeth
UCDLibrary,AdamJWyeth
FingalPoetry,AdamJWyeth
IrishWritersCtr,Adamm_Official
MoLI_Museum,Adamm_Official
OBrienPress,AdamMaguire
stingingfly,adammarek
MunLitCentre,adammarek
ILFDublin,AdamRael
dalkeybookfest,AdamRutherford
WritersWeek,AdamsCloud
CuirtFestival,AdamSJFoulds
salmonpoetry,AdamWyeth
ILFDublin,adatwr
WritersWeek,ADCI_Forum
salmonpoetry,addthis
NewIslandBooks,addthis
ILFDublin,addyminchin
poetryireland,adedotunadekey
OverTheEdgeOpen,adedotunadekey
IrishWritersCtr,adeleogb
OBrienPress,adelesbooks
kevidoyle,adelesbooks
margaretbmadden,adelesbooks
swirlandthread,adelesbooks
NewIslandBooks,adelewalton121
bansheelit,AdelleLHay
ILFDublin,AdelmanJuliana
Lit_Ireland,adelwritersweek
stingingfly,adesignrobot
OverTheEdgeOpen,AdHocFiction
poetryireland,ADIarts
IrishWritersCtr,ADIarts
CuirtFestival,ADIarts
SkeinPress,ADIarts
MoLI_Museum,ADIarts
Doirepress,ADIarts
ILFDublin,ADIarts
crowofminerva,ADIarts
CuirtFestival,adiba_j
SkeinPress,adiba_j
MoLI_Museum,adiba_j
ILFDublin,adiba_j
OverTheEdgeOpen,adjackson68
stingingfly,adjoseph
kathmccoypoet,adkctr4writing
PublishingIRL,Adobe
dedaluspress,adreamingskin
poetryireland,adreamingskin
MunLitCentre,adreamingskin
IrishWritersCtr,adreamingskin
bansheelit,adreamingskin
Doirepress,adreamingskin
DublinBookFest,adreamingskin
OverTheEdgeOpen,adreamingskin
SkeinPress,adreamingskin
AnneTannam,adreamingskin
IrelandinSF,adreamingskin
TheGalleryPress,adrian_duncan_
stingingfly,adrian_duncan_
WritersWeek,adrian_duncan_
Lit_Ireland,adrian_duncan_
IrishWritersCtr,adrian_duncan_
MunLitCentre,adrian_duncan_
LilliputPress,adrian_duncan_
PublishingIRL,adrian_duncan_
dalkeybookfest,adrian_duncan_
DublinBookFest,adrian_duncan_
NewIslandBooks,adrian_duncan_
Fallow__Media,adrian_duncan_
TheDublinReview,adrian_duncan_
ILFDublin,adrian_duncan_
bansheelit,adrian_duncan_
bullaunpress,adrian_duncan_
wcorklitfest,adrian_duncan_
OverTheEdgeOpen,AdrianCTweets
dalkeybookfest,adriancummins
TheDublinReview,adriand
poetryireland,AdrianGONeill
ShevaunWilder,AdrianGONeill
thepoetryhour,AdrianGONeill
dubreviewbooks,AdrianKavanagh
OverTheEdgeOpen,AdrianKavanagh
Lit_Ireland,adrianmckinty
WritersWeek,adrianmckinty
Doirepress,adrianmckinty
obstangler,adrianmckinty
LivKiernan,adrianmckinty
WritersWeek,AdrianSean
NewIslandBooks,adrianweckler
ILFDublin,adrianweckler
OverTheEdgeOpen,AdrienneJoCo
salmonpoetry,adryansky
med_indonews,aduffy74
fishpublishing,AdventureGreece
PetyuskaDoom,adverts_ie
OverTheEdgeOpen,AdviceToWriters
OBrienPress,Adweek
PublishingIRL,AE_Publishing
lpjis,aedei_es
sololeon,aedei_es
FallenAngelNY,AedinMoloney
dalkeybookfest,AEEWebber
OverTheEdgeOpen,AEI
ILFDublin,AEMAKofficial
dubreviewbooks,aeonmag
CuirtFestival,AerachG
MoLI_Museum,AerCapNV
dalkeybookfest,AerCapNV
poetryireland,AerLingus
WritersWeek,AerLingus
NewIslandBooks,AerLingus
dalkeybookfest,AerLingus
LilliputPress,AerLingus
DublinBookFest,aeroplanegirl
WritersWeek,aertv
ILFDublin,aertv
NewIslandBooks,AerTVArts
poetryireland,AestheticaMag
Lit_Ireland,AestheticaMag
stingingfly,AestheticaMag
IrishWritersCtr,AestheticaMag
ILFDublin,AestheticaMag
PublishingIRL,AestheticaMag
MoLI_Museum,AFConfidential
IrishWritersCtr,afdublin
Lit_Ireland,afdublin
poetryireland,afdublin
ILFDublin,afdublin
LilliputPress,afdublin
SkeinPress,afdublin
IrishWritersCtr,AFEPI_Ireland
PublishingIRL,AFEPI_Ireland
NewIslandBooks,AFEPI_Ireland
DublinBookFest,AFEPI_Ireland
poetryireland,AFhoghlu
irishpages,AFhoghlu
OBheal,AFhoghlu
poetryireland,AFP
SkeinPress,AfricaInstitut2
Doirepress,AfricaInstitut2
OverTheEdgeOpen,AfricaPoetry
OBheal,AfricaPoetry
ILFDublin,AfriPeace
ILFDublin,AgaGrandowicz
SkeinPress,AgaGrandowicz
DublinBookFest,AgaGrandowicz
poetryireland,againstgraindub
brid_opera,agavin_tenor
IrishWritersCtr,Age_Opp
poetryireland,Age_Opp
SkeinPress,Age_Opp
ILFDublin,Age_Opp
LilliputPress,AgEisteacht1
ILFDublin,agent_foley
bansheelit,agent_foley
fingalarts,agent_foley
stingingfly,agent_luck
WinterPapers,agent_luck
CuirtFestival,agent_luck
dalkeybookfest,agent_luck
LilliputPress,agent_luck
ILFDublin,agent_luck
ILFDublin,agentandagent
dalkeybookfest,AgentSophieL
IrishWritersCtr,AGillustrates
LilliputPress,AGillustrates
dedaluspress,AgnesandTrue
MoLI_Museum,agnewcat
OBrienPress,AgnewSheila
dedaluspress,agnolino
stingingfly,agnolino
MunLitCentre,agnolino
IrishWritersCtr,agnolino
OverTheEdgeOpen,agnolino
AnikoTevvit,agrainne24
WritersWeek,AGreer
stingingfly,AGreer
BioBagIRELANDUK,agriculture_ie
poetryireland,AgrilandIreland
BioBagIRELANDUK,AgrilandIreland
OBrienPress,agrimammy
MunLitCentre,AgSuil
dubreviewbooks,agtgibson
DublinBookFest,AHach
NewIslandBooks,AHach
WritersWeek,ahmpreston
stingingfly,aholgate
ThePaulHudd,Aiannucci
WritersWeek,AIB
MoLI_Museum,AIBIreland
OBrienPress,AIBIreland
ILFDublin,AidanCoughlan
CuirtFestival,aidandonnellan
IrishWritersCtr,AidanHerron
poetryireland,AidanHynes5
dedaluspress,AidanHynes5
Doirepress,AidanHynes5
OverTheEdgeOpen,AidanHynes5
dubreviewbooks,AidanMadden
MoLI_Museum,AidanOSulliva15
CuirtFestival,AideenBarry
poetryireland,AideenHoward
dalkeybookfest,AideenHoward
SkeinPress,AideenHoward
ILFDublin,AideenHoward
MoLI_Museum,AideenHoward
WritersWeek,AidiMac
NewIslandBooks,aidwkr
dalkeybookfest,AifricCampbell
Doirepress,AifricCampbell
Doirepress,AIHSNYC
poetryireland,aik__j
WritersWeek,aikenpromotions
SkeinPress,ailahahmed
MoLI_Museum,AilbheConneely
dedaluspress,AilbheDarcy
poetryireland,AilbheDarcy
Lit_Ireland,AilbheDarcy
WritersWeek,AilbheDarcy
stingingfly,AilbheDarcy
IrishWritersCtr,AilbheDarcy
OverTheEdgeOpen,AilbheDarcy
OBheal,AilbheDarcy
bansheelit,AilbheDarcy
ILFDublin,AilbheDarcy
CuirtFestival,AilbheDarcy
dubreviewbooks,AilbheDarcy
mariatjohnston,AilbheDarcy
IrishWritersCtr,AilbheNiRiain
poetryireland,ailbhes
salmonpoetry,ailbhes
IrishWritersCtr,ailbhes
SkeinPress,ailbhes
NewIslandBooks,ailbhes
DublinBookFest,ailbhes
WinterPapers,aileen_dillane
LilliputPress,aileen_smyth
stingingfly,aileenarms
Doirepress,aileenarms
clairerockfinch,aileenc1601
IrishWritersCtr,AileensBelle
DublinBookFest,AileenSwansong
undergroundboo,Ailin_a_Dale
dalkeybookfest,AilishBracken
CuirtFestival,AilisNiRiain
OBrienPress,aillwee
IrishWritersCtr,ailsacox
Doirepress,ailsacox
dedaluspress,ailyballantyne
BooksOfAllKinds,aimeealexbooks
margaretbmadden,aimeealexbooks
Doirepress,AimeeBender
bansheelit,AimeeGodfrey_
JohannaNiMhaill,AimsirTG4
WritersWeek,aindestaic
ILFDublin,aindestaic
OverTheEdgeOpen,aindreasdoyle
SkeinPress,aine_awwnya
WritersWeek,aine_cahill
ILFDublin,aine_mahon
poetryireland,aine_mcallister
OBrienPress,aine_mcguinness
OBrienPress,aine_treasa
DublinBookFest,aine_treasa
TrampPress,ainecarroll127
dedaluspress,aineconlon2
dalkeybookfest,AinedeFaoite
dedaluspress,AineEibhlin
stingingfly,AineGreaney
WritersWeek,AineKerr
IrishWritersCtr,AineKerr
OverTheEdgeOpen,AineKerr
OBrienPress,aineltoner
BellCaragh,aineltoner
PatriciaDublin,aineltoner
PoolbegBooks,aineltoner
poetryireland,ainemacaodha
OverTheEdgeOpen,ainemacaodha
fishpublishing,ainemacaodha
irishpages,ainemacaodha
colum_kav,ainemryan
stingingfly,AinenihAodain
Fallow__Media,AinenihAodain
LilliputPress,AinenihAodain
bansheelit,ainenineill
IrishWritersCtr,Ainetierney
OverTheEdgeOpen,Ainetierney
ILFDublin,AIPLF_Ireland
OBrienPress,aircamireland
OBrienPress,AirfieldEstate
fishpublishing,airportlounges
ILFDublin,ais_cul
CuirtFestival,ais_odriscoll
poetryireland,AisConroy
stingingfly,aisling_gheal
IrishWritersCtr,aisling_gheal
ILFDublin,aisling_gheal
NewIslandBooks,aisling_gheal
OBrienPress,AislingAliciaF
SkeinPress,AislingArundel
stingingfly,AislingBradley
Doirepress,AislingBradley
CuirtFestival,AislingBradley
OverTheEdgeOpen,AislingBradley
dalkeybookfest,AislingCoyle1
Lit_Ireland,AislingFlynn
WinterPapers,AislingFlynn
bansheelit,AislingFlynn
DublinBookFest,aislinggaudet
WritersWeek,AislingHussey
ILFDublin,aislingogorman
BewleysCTheatre,aislingomara
OBrienPress,AislingORourke
LilliputPress,AislingORourke
dedaluspress,AislingTempany
CuirtFestival,aislingtkeogh
OverTheEdgeOpen,aislingtkeogh
themeliantimes,aislingtkeogh
MoLI_Museum,AislingUi
WritersWeek,AislingWren
stingingfly,Aislingx_
dalkeybookfest,Aisneach
OBrienPress,AisNicC
CuirtFestival,aisooooo
ILFDublin,aiww
LilliputPress,ajbwells
PoolbegBooks,ajcronin1
WritersWeek,AJFinnBooks
dubreviewbooks,ajlees
poetryireland,AJM9943
OverTheEdgeOpen,AJogee
SandyJohnston10,AJPhillipson
IrishWritersCtr,ajpquinn
WritersWeek,ajpquinn
Doirepress,ajpquinn
nphegarty,ajpquinn
johnplovett,ajpquinn
margaretbmadden,ajpquinn
TrampPress,Akahige86
Lit_Ireland,AkaPaulHoward
poetryireland,AkaPaulHoward
WritersWeek,AkaPaulHoward
stingingfly,AkaPaulHoward
dubreviewbooks,AkaPaulHoward
TrampPress,AkaPaulHoward
ILFDublin,AkaPaulHoward
dalkeybookfest,AkaPaulHoward
OBrienPress,AkaPaulHoward
easons,AkaPaulHoward
MunLitCentre,akblakemore
CuirtFestival,akblakemore
dubreviewbooks,akennedysmith
rraughter,akennedysmith
LilliputPress,akenny02
SkeinPress,AkhileshIFS
AnneTannam,AkhileshIFS
IrishWritersCtr,AkiDwA
dalkeybookfest,AkiSchilz
SkeinPress,AkiSchilz
TrampPress,AKPressDistro
poetryireland,AKruminis
bansheelit,Al_iceWalsh
poetryireland,al_mac_e
stingingfly,al_mu7ami
OBheal,al_ou_swanehals
WritersWeek,al_youell
dalkeybookfest,al_youell
ILFDublin,al70
dubreviewbooks,alaindebotton
ILFDublin,alaindebotton
Kittycathogan,Alan__Shatter
WritersWeek,Alan_Conway1
OBrienPress,alan_griffin
stingingfly,alan_maguire
